Display Name,BayerFlamsteed,Gliese,Proper Name,Spectral Class
Hip 72468,,,,K2
Hip 74695,,,,K0
Hip 82193,,,,B5II/III
Hip 92668,,,,K0
Hip 96090,,,,A3IV
Hip 100164,,,,K0III
Hip 100176,,,,F5
Hip 803,,,,K2
Hip 9537,,,,G5
Hip 25786,,,,B2IV-V
Hip 26233,,,,B1.5V
Hip 31874,,,,K0
Hip 33752,,,,B9
22 Sigma Canis Majoris,22 Sigma Canis Majoris,,,K4III
Hip 37196,,,,K0
Hip 38993,,,,B7V
Hip 39897,,,,B8V
Hip 40469,,,,A0
Hip 46786,,,,B9.5IV
Hip 56024,,,,K1III
Hip 63692,,,,M1III
Hip 66259,,,,K1/K2III
Hip 69271,,,,K1III
Hip 72000,,,,B3V:
Hip 88515,,,,K0
Hip 89705,,,,B9
Hip 91436,,,,F2
Hip 92541,,,,B9
20 Aquilae,20 Aquilae,,,B3V
Hip 100556,,,,B3II/III
Hip 102278,,,,K5III
Hip 104781,,,,G5II-III
Hip 107952,,,,K5
Hip 108886,,,,K5
Hip 4159,,,,K3III
Hip 4990,,,,A3
Hip 16843,,,,K0
Hip 19856,,,,B7III
Hip 20974,,,,K0
Hip 26821,,,,B4/B5III
Hip 27317,,,,K3III
Hip 27749,,,,M1III
Hip 31860,,,,K3/K4III
Hip 32410,,,,A0
Hip 38792,,,,M5/M6III
Hip 39373,,,,K1III:
Hip 39734,,,,A3Ib/II
Hip 40255,,,,B5V
Hip 42441,,,,M1III
Hip 56255,,,,K4III
Hip 65006,,,,M4e-M6IIIA:e
Hip 77063,,,,A2
Hip 86713,,,,K4III
Hip 86747,,,,B9III
Hip 89700,,,,B9
Hip 91459,,,,K0
Hip 91781,,,,M4III
Hip 92098,,,,B6V
Hip 92599,,,,B9p Si
Hip 93461,,,,A2
Hip 95620,,,,A0
Hip 98166,,,,K4III
Hip 98730,,,,K5
Hip 100250,,,,B9p Si
Hip 106929,,,,M3/M4III
Hip 112850,,,,B9
Hip 114212,,,,B3V
Hip 118307,,,,M2III:
Hip 6571,,,,K5
Hip 21413,,,,K5
Hip 23828,,,,B9
Hip 25288,,,,B4IVn
Hip 29126,,,,B1V
Hip 32387,,,,A0
Hip 42315,,,,M4III
Hip 44431,,,,B8V
Hip 54294,,,,K2II/III
Hip 56346,,,,K2
Hip 56418,,,,K4III
Hip 60731,,,,K2
Hip 63943,,,,K4III
Hip 67933,,,,B8III
Hip 69625,,,,K2III
Zeta Circini,Zeta Circini,,,B3Vn
Hip 75697,,,,M2III
Hip 85138,,,,B5V
Hip 91292,,,,G6IICNIV
Hip 92072,,,,B8/B9II
Hip 104958,,,,A0
Hip 110641,,,,K4III
Hip 111967,,,,K4III
Hip 118076,,,,K3III
Hip 7991,,,,K0
Hip 14571,,,,K2III
Hip 24892,,,,M...
Hip 26149,,,,G5
Hip 29791,,,,B6V
Hip 29839,,,,B7III
Hip 30237,,,,M3III
Hip 38133,,,,B3III
20 Puppis,20 Puppis,,,G5Ib/II
Hip 41618,,,,K3/K4III:
Hip 41823,,,,B3V
Hip 43240,,,,B6V
Hip 43604,,,,A0III/IVp..
Hip 46127,,,,M1III
Hip 52806,,,,B5Vvar
Hip 54318,,,,M2III
Hip 70243,,,,B8V
Hip 88629,,,,B4ne
Hip 91714,,,,K1IIICN...
Hip 92530,,,,G8/K0III
Hip 97050,,,,B5V
Hip 97372,,,,M2III
Hip 100429,,,,A0
Hip 101921,,,,B7IIIn
Hip 104279,,,,M3
Hip 104990,,,,A2
Hip 23033,,,,M0
Hip 43513,,,,B6III
Hip 43806,,,,K3III
Hip 45803,,,,B9.5V
Hip 46593,,,,K0III
Hip 50764,,,,B5III
Hip 51425,,,,B4IV
Hip 58756,,,,K3III+...
Hip 60905,,,,B3V
Hip 64033,,,,B9IV+...
Hip 65681,,,,B8V
Hip 66575,,,,G5Ib
Hip 87749,,,,A0
Hip 91851,,,,K0
Hip 94593,,,,K2/K3III
Hip 95965,,,,A2V
Hip 100116,,,,K5
Hip 103308,,,,M2III
Hip 103828,,,,M3Ib-II:
Hip 107248,,,,K0III
47 Capricorni,47 Capricorni,,,M3III
Hip 117737,,,,K1III
Hip 5161,,,,B3III
Hip 17735,,,,B2.5V
Hip 21862,,,,G5
Hip 26106,,,,B2.5V
Hip 29000,,,,K2
Hip 38010,,,,B2IV/V
Hip 39690,,,,K3III
Hip 48436,,,,K5
Hip 54877,,,,M...
Hip 82874,,,,B7V
Hip 86575,,,,G7III
Hip 98525,,,,B7V
Hip 99294,,,,K0
Hip 102440,,,,M5II-III
Hip 104860,,,,K5
Hip 105244,,,,K3III
Hip 106285,,,,B0Ib
Hip 107280,,,,K5
82 Aquarii,82 Aquarii,,,M2III
Hip 11997,,,,B9
Hip 15859,,,,K2III
6 Aurigae,6 Aurigae,,,K4Iab:
Hip 25011,,,,B5Vp
Hip 26792,,,,B8
Hip 30248,,,,K0
Hip 37577,,,,B3II/III
Hip 37708,,,,M...
Hip 38783,,,,K4II
Hip 43085,,,,B4V
Hip 52022,,,,B9IV
Hip 53975,,,,K5
Hip 57926,,,,K2/K3III
Hip 59392,,,,K0III
Hip 88587,,,,A0
Hip 90842,,,,K2III
Hip 91984,,,,K5
Hip 94486,,,,K0
Hip 101967,,,,K2
Hip 104414,,,,A2
Hip 105810,,,,K2
Hip 2557,,,,K0
Hip 15890,,,,M0II
Hip 20660,,,,K0
Hip 21530,,,,B8
Hip 26188,,,,B5
Hip 26892,,,,K0
Hip 33426,,,,K2III
Hip 34786,,,,B4V
Hip 35468,,,,B5II/III
Hip 36452,,,,K3III
Hip 39235,,,,K0
Hip 39530,,,,B2.5Vn
Hip 46274,,,,K1IIICN...
Hip 52785,,,,B2IV
Hip 70603,,,,A5:V+...
Hip 78004,,,,B3/B4V
Hip 87232,,,,O9.5V:n...
Hip 91251,,,,K3/K4III
Hip 95719,,,,G5
Hip 103272,,,,B9
Hip 103783,,,,K2/K3III/IV
Hip 106578,,,,B8
Hip 111471,,,,K3III
Hip 115520,,,,A0
Hip 115530,,,,M0
Hip 2037,,,,B9
Hip 7832,,,,G5
Hip 13635,,,,K0
Hip 20308,,,,K1III
Hip 25322,,,,M0
Hip 25751,,,,B2V
Hip 26632,,,,B9
Hip 46765,,,,B8III
Hip 54949,,,,A2V
Hip 55981,,,,K4III
Hip 56388,,,,K5
Hip 64624,,,,O9:V
Hip 65936,,,,G8II/III
Hip 75091,,,,B3V
Hip 81814,,,,G3III
Hip 82804,,,,B8/B9III
Hip 83556,,,,M3/M4III
Hip 91276,,,,G8Ib
Hip 92832,,,,K2
Hip 93413,,,,B5
Hip 93494,,,,K0
Hip 95520,,,,B8IVwe...
Xi Telescopii,Xi Telescopii,,,M1II
Hip 99641,,,,K5
Hip 101442,,,,B2V
Hip 103384,,,,K0
Hip 105224,,,,K5III
Hip 108029,,,,K0
Hip 110204,,,,K2V
Hip 116465,,,,M1III
Hip 6858,,,,B9
Hip 10396,,,,K0
Hip 12592,,,,K0
Hip 20476,,,,K0
3 Pi 4 Orionis,3 Pi 4 Orionis,,,B2III SB
Hip 24943,,,,M3/M4III
Hip 27227,,,,K0
Hip 28519,,,,A0
Hip 30988,,,,M0/M1III
Hip 33243,,,,G6III:
Hip 38192,,,,G6III
Hip 41239,,,,K0
Hip 44256,,,,G8II
Hip 45541,,,,B6Vne
Hip 49293,,,,K0
Hip 84650,,,,B5III
Hip 87381,,,,B9.5IV/V
Hip 88512,,,,K5III
Hip 96491,,,,B5II-III
Hip 98012,,,,K2/K3III
Hip 109613,,,,M0
Hip 2283,,,,K5III
Hip 17089,,,,M2III
Hip 20330,,,,B5
Hip 22036,,,,K4III
Hip 26257,,,,B2.5IV
Hip 28287,,,,G8II
Hip 32358,,,,K5
Hip 33178,,,,B6V
Hip 33644,,,,B7III
Hip 34055,,,,K5
Hip 36141,,,,B7II-III
Hip 38363,,,,G8III
Hip 39069,,,,K2
Hip 53190,,,,M1III
Hip 55953,,,,K4/K5III
Hip 72268,,,,M...
Hip 74536,,,,K4III
Hip 77418,,,,A2III
Hip 85223,,,,B6V
Hip 85477,,,,K3III
Hip 92307,,,,A2V
Hip 95197,,,,B2.5V
Hip 100372,,,,M0III
Hip 101490,,,,K5III
Hip 101754,,,,K5III
Hip 102685,,,,K1III+...
Hip 103530,,,,B5Vn
Hip 103902,,,,K0III
Hip 110707,,,,A1V+G8/K1III
Hip 8902,,,,K2
Hip 19985,,,,F2
Hip 22391,,,,K1III
130 Tau,130 Tau,,,F0III
Hip 28448,,,,K0
Hip 29348,,,,M0
Hip 30430,,,,K0
Hip 33493,,,,B3ne
Hip 34476,,,,F5
Hip 37273,,,,K0
Hip 38795,,,,B2V
Hip 40662,,,,B7III
Hip 55517,,,,K2/K3III
Hip 67942,,,,K2III
Hip 68146,,,,K0
Hip 74622,,,,B9IV
Hip 75583,,,,K3III
Hip 89382,,,,B7/B8II/III
Hip 90768,,,,B1Vne
Hip 90913,,,,K3Iab
Hip 92148,,,,M2III
Hip 96765,,,,K0
Hip 98253,,,,A3V
Hip 104135,,,,B9
Hip 106675,,,,M0III
Hip 108938,,,,B8III
Hip 113009,,,,B7III-IV
Hip 9254,,,,M1III
Hip 25575,,,,K0
Hip 25655,,,,B5Vne
Hip 26512,,,,G5
Hip 29256,,,,B7/B8IV
Hip 34066,,,,B9IIIn
Hip 36778,,,,B2Vne
Hip 44083,,,,K1III
Hip 54975,,,,K0
Hip 67320,,,,M2III
Hip 67533,,,,K4III
Hip 69949,,,,B7Vn
Hip 72943,,,,K0
Hip 84844,,,,M0III
Hip 92779,,,,K2
Hip 98443,,,,K0
Hip 98910,,,,F1III
Hip 99035,,,,K5III
Hip 102027,,,,A0
Hip 103360,,,,G8II-III
Hip 107289,,,,M2III
Hip 107956,,,,M8III
Hip 109666,,,,M2/M3III
Hip 112939,,,,K4/K5III
Hip 8512,,,,K1III
Hip 11978,,,,M0
Hip 13700,,,,K3Ibvar
Hip 32244,,,,A1V
Hip 37198,,,,B9
Hip 38109,,,,K0
Hip 44761,,,,A0
Hip 45127,,,,B5III
Hip 48955,,,,K3III
Hip 52043,,,,B3IV
Hip 60809,,,,G5II
Hip 72756,,,,M1/M2III
Hip 78989,,,,F2II
105 Herculis,105 Herculis,,,K4II SB
Hip 91308,,,,K0
28 Sagittarii,28 Sagittarii,,,K5III
Hip 94526,,,,B8
Hip 107028,,,,K0
Hip 113510,,,,M2III
Hip 15270,,,,B2.5IV-V
Hip 24529,,,,A5
Hip 25542,,,,A0
Arneb,11 Alpha Leporis,,Arneb,F0Ib
Hip 26120,,,,B5
Hip 34464,,,,K0
Hip 35551,,,,G5II
Hip 38872,,,,B2.5IV
Hip 39035,,,,B2IV-V
Hip 41828,,,,B2.5V
Hip 43520,,,,B3V
Hip 43933,,,,K2
Hip 56465,,,,K2III
Hip 67042,,,,B4V
26 Librae,26 Librae,,,B9III
Hip 74707,,,,F:+...
Hip 81411,,,,M...
Hip 83059,,,,G0Ib
Hip 84311,,,,M1/2II/III+A
Hip 87913,,,,K5pvar
Hip 92191,,,,B8
Hip 108505,,,,M3III
Hip 110550,,,,B9.5III
Hip 422,,,,K0
Hip 620,,,,B9IV
Hip 1146,,,,M1III
Hip 4586,,,,M1III
Hip 9158,,,,B8III
Hip 13393,,,,K0
22 Orionis,22 Orionis,,,B2IV-V
Hip 25471,,,,A1p
Hip 30793,,,,A1p
Hip 31447,,,,K0
Hip 32315,,,,G5
Hip 35072,,,,K1III
Hip 49224,,,,G5III
Hip 56818,,,,M1III
Hip 58981,,,,M0
Hip 78235,,,,M7
Hip 78355,,,,B5IV
Hip 83721,,,,B1Ib
Hip 92442,,,,C5II
Hip 95989,,,,B8
Hip 106388,,,,B9
Hip 113772,,,,B3V
Hip 10849,,,,B2V
Hip 10969,,,,K0II
Hip 13645,,,,M3II-III
Hip 24670,,,,B9V
Hip 26230,,,,G5
Mu Columbae,Mu Columbae,,,B1IV/V
Hip 27697,,,,B9
Hip 29602,,,,A1V
Hip 35106,,,,K5III
Hip 35287,,,,B7/B8V
Hip 38495,,,,K0
Hip 38551,,,,B6V
Hip 38686,,,,K4III
Hip 42649,,,,B8/B9III/IV
Hip 44148,,,,K5III
Hip 45824,,,,M4III
Hip 46700,,,,K2
Hip 49934,,,,B2IVnpe
Hip 64391,,,,M2III
54 Virginis,54 Virginis,,,A0V
Hip 83740,,,,B8/B9II
Hip 84106,,,,K2
Hip 89968,,,,F8II
Hip 94278,,,,K4III
Hip 94940,,,,C
Hip 96154,,,,K5III
Hip 102459,,,,F5
Hip 106870,,,,M...
Hip 181,,,,M0
Hip 3517,,,,K4II/IIICNV:
Hip 9999,,,,M1III
Hip 10507,,,,M1/M2III
Hip 11299,,,,K2
Hip 12193,,,,M4IIIe-M8e
Hip 12855,,,,K2III
Hip 15089,,,,M...
Hip 16414,,,,K2
Hip 26439,,,,B4V
Hip 27157,,,,A2
Hip 27914,,,,A0IV
Hip 30564,,,,C5II
Hip 30583,,,,A0V
Hip 31667,,,,K2
Hip 34463,,,,M...
Hip 39834,,,,B3III/IV
Hip 40268,,,,B2/B3V
Hip 45805,,,,K1III
Hip 49619,,,,B3III
Hip 65309,,,,M4III:
Hip 82867,,,,M2III
Hip 87928,,,,B4III
Hip 92737,,,,K5
Hip 98695,,,,K0
Hip 101909,,,,B3V
Hip 105099,,,,K2
Hip 107488,,,,A4V+...
13 Piscis Austrini,13 Piscis Austrini,,,K5III
Hip 112998,,,,K2V:
Hip 115098,,,,A0V
Hip 9300,,,,M2III
Hip 18451,,,,K0
Hip 26602,,,,B4
Hip 28588,,,,G5
Hip 34086,,,,K3III
Hip 34725,,,,B7III
Hip 35391,,,,B2V
Hip 39357,,,,K5
Hip 40620,,,,K0
Hip 42442,,,,Ap...
29 Hydrae,29 Hydrae,,,A2V
Hip 48679,,,,B7/B8III
Hip 49006,,,,K2III
Hip 49945,,,,B5Vn
Hip 59124,,,,K0III
Hip 68019,,,,M1/M2III
Hip 92472,,,,K0
Hip 95608,,,,B2IV
8 Theta Delta,8 Theta Delta,,,K3Ib
Hip 103851,,,,M3
Hip 110523,,,,K2
Hip 114159,,,,K4III
69 Ceti,69 Ceti,,,M2III
Hip 16251,,,,G8/K0III
Hip 19823,,,,A4III
Hip 20600,,,,B8V
Hip 26213,,,,B3V
Hip 29782,,,,B8
Hip 30190,,,,K5
Hip 32558,,,,M1II
Hip 38779,,,,B8IIIe
Hip 41293,,,,B7IV
Hip 42653,,,,B3V
Hip 69871,,,,B9V
Hip 71985,,,,G5
Hip 74999,,,,M2III
Hip 77458,,,,K5III
Hip 87251,,,,K2
Hip 89595,,,,F8III
Hip 90018,,,,G5II/III
Hip 93462,,,,K5
Hip 93770,,,,M0III
Hip 97462,,,,K5
Hip 98459,,,,K0
Hip 100732,,,,M2/M3III
Hip 102585,,,,K3III
Hip 110912,,,,M0III
20 Psi Andromedae,20 Psi Andromedae,,,G5Ib
Hip 6327,,,,K5
Hip 11176,,,,K0
Hip 13512,,,,B9
Hip 14930,,,,C5II
Hip 17861,,,,K5/M0III
Hip 19785,,,,K0
Hip 24559,,,,K5III
Hip 30418,,,,B5V
Hip 34518,,,,G9III
Hip 36275,,,,B8III/IV
Hip 36364,,,,K1III
Hip 39562,,,,B8V
Hip 39985,,,,K5III
Hip 43673,,,,K0II/III+..
Hip 47719,,,,K0
Hip 49613,,,,M2III:
Hip 52189,,,,K0II/III
Hip 58795,,,,M3III
Hip 86483,,,,K2
Hip 93132,,,,B8III
Hip 95408,,,,B2Vnn
Hip 97432,,,,K5
Hip 98780,,,,M0
Hip 102230,,,,K1III
Hip 106108,,,,A3
Hip 1033,,,,M...
Hip 1208,,,,K5
Hip 5026,,,,M1III
Hip 6457,,,,M1III
Hip 22381,,,,M2III
Hip 23551,,,,B2IV
Hip 24737,,,,K3III
Hip 38356,,,,A0
Hip 39225,,,,B2IV-V
Hip 40890,,,,K3III
Hip 41040,,,,K0
Hip 49751,,,,M2/M3e
Hip 57785,,,,G8III
Hip 77765,,,,K5III
Hip 91707,,,,B5V
Hip 91989,,,,K1/K2III+..
Hip 94043,,,,B3V
Hip 94588,,,,B8
Hip 95505,,,,F8
Hip 99936,,,,K5III
Hip 107704,,,,G4Ib
Hip 117340,,,,B3IV
Hip 370,,,,K1III
Hip 14742,,,,G5
Hip 21601,,,,K0
Hip 22469,,,,K2IIICN...
Hip 26098,,,,B2V
44 Iota Orionis,44 Iota Orionis,,,O9III
Hip 29014,,,,B9
Hip 30159,,,,B8V
Hip 31338,,,,B8
Hip 33721,,,,B3Vnn
Hip 37209,,,,K4III
Hip 37954,,,,B8II
Hip 39879,,,,B8III
Hip 41196,,,,K4III
Hip 43651,,,,K5
Hip 44099,,,,B7V
Hip 47451,,,,K0III
Hip 48589,,,,B3V + B3V
Hip 52161,,,,B5Vn
Hip 70145,,,,K5
Hip 84982,,,,B8V
Hip 86269,,,,F5Ib
Hip 92000,,,,B8
Hip 101172,,,,G0II
Hip 101755,,,,A0
Hip 108566,,,,K5
Hip 137,,,,B9IIIp Mn
Hip 3083,,,,K5III
Hip 8672,,,,K4III
Hip 9812,,,,M3III
Hip 11185,,,,K0
Hip 11583,,,,A3
15 Eta Persei,15 Eta Persei,,,K3Ib comp SB
Hip 14234,,,,A0
Hip 22406,,,,A2
Hip 23582,,,,K0
Hip 25327,,,,B5V
Hip 26148,,,,K5
Hip 32406,,,,K3III
Hip 32418,,,,B4Vne
Hip 33480,,,,F6III
Hip 33622,,,,K4III
Hip 33949,,,,K5
Hip 36856,,,,A1III/IV
Hip 38847,,,,K3III
Hip 39884,,,,K5
Hip 40397,,,,B3Vnne
Hip 41257,,,,K0
Hip 82929,,,,K5III
Hip 84118,,,,K2
Hip 85363,,,,K2III
Hip 85668,,,,B7/B8III
Hip 87789,,,,G6/G8III
Hip 88012,,,,B3II/III
Hip 92833,,,,G8III+...
Hip 98424,,,,M3
Hip 100543,,,,K5
Hip 103049,,,,G8II
Hip 116870,,,,B9
Hip 2455,,,,B8
Hip 7232,,,,B5Ib
Hip 21576,,,,B6V
Hip 28532,,,,M0III
Hip 35497,,,,K0II/III
Hip 40673,,,,A0IV
Hip 41539,,,,B3IV
Hip 44594,,,,K2
Hip 48192,,,,K5
Hip 50142,,,,M1III
Hip 57118,,,,K0IV
Hip 71500,,,,K0III
Hip 78580,,,,G5
Hip 88907,,,,K2/K3III+..
Hip 91584,,,,K2III
Hip 94412,,,,A0
Hip 104320,,,,B3V
Hip 107964,,,,K0
Hip 108745,,,,K2
Hip 108773,,,,K3III
Hip 112078,,,,M0
Hip 114163,,,,B2.5IV
Hip 4030,,,,K0III
Hip 5091,,,,M...
Hip 5912,,,,K5
Hip 9627,,,,K4III
56 Eridani,56 Eridani,,,B2Ve
8 Pi 5 Orionis,8 Pi 5 Orionis,,,B2III SB
Alnilam,46 Epsilon Orionis,,Alnilam,B0Ia
Hip 27479,,,,K4III
Hip 31344,,,,K2
Hip 33853,,,,K5III
Hip 37315,,,,K1/K2II/III
Hip 40884,,,,B6V
Hip 41603,,,,B8II
Hip 47660,,,,K2
Hip 48649,,,,K2
Hip 64666,,,,K2
Hip 67736,,,,B8/B9III
Hip 104643,,,,B5
Hip 108766,,,,B5IIIn
Hip 115892,,,,K2
Hip 116948,,,,M2III:
Hip 696,,,,M0/M1IIICNp
Hip 7095,,,,B8
Hip 18088,,,,K0
Hip 33724,,,,K0
7 Xi Puppis,7 Xi Puppis,,,G6Ia
Hip 43326,,,,B6III
Hip 46342,,,,G3/G5Ib
Hip 64530,,,,M0
Hip 65791,,,,K2
Hip 77042,,,,G0Ib
Hip 82544,,,,K5
Hip 86954,,,,B4V
Hip 92279,,,,B8
Hip 95226,,,,M2III
Hip 99746,,,,B0.5V
Hip 103472,,,,K2
Hip 113992,,,,K5III
Hip 115893,,,,K3III
Hip 23081,,,,K5III
10 Monocerotis,10 Monocerotis,,,B2V
Hip 31115,,,,B9
Hip 33239,,,,B9
Hip 33929,,,,M1.5
Hip 35427,,,,G2II
Hip 36134,,,,B8/B9II/III
Hip 36933,,,,B9
Hip 37345,,,,B4III
Hip 41485,,,,K2III
Hip 44618,,,,B3IV
Hip 45044,,,,B3/B4V
Hip 47898,,,,B9IV
Hip 71745,,,,K4/K5III
Hip 75095,,,,B2Ib
Hip 77932,,,,B8V
Hip 81680,,,,K5
Hip 88260,,,,K5
Hip 89941,,,,B9
Hip 91402,,,,K3III
31 Cygni,31 Cygni,,,K2II+...
Hip 103366,,,,K5
Hip 103871,,,,B3Vn
Hip 105650,,,,B9
Hip 106583,,,,C6II
Hip 114097,,,,B2V
Hip 116988,,,,K4III
Hip 1126,,,,K2III
Hip 5251,,,,K0
Hip 9802,,,,A0
Hip 20497,,,,G5
Hip 25893,,,,K5
Hip 26427,,,,B1Vvar
Hip 29239,,,,B9
Hip 39527,,,,G5II
Hip 40600,,,,B5Vn
Hip 45615,,,,K2III
Hip 49966,,,,G5
Hip 50942,,,,M2III
Hip 53026,,,,A2
Hip 53729,,,,K4III
Hip 54731,,,,M0III
Hip 58955,,,,G8III
Hip 68893,,,,K5
Hip 87105,,,,B3V
Hip 91820,,,,K5
Hip 99041,,,,G9III
Hip 101381,,,,K0II
Hip 109298,,,,K0III
Hip 115141,,,,K5Ibvar
Hip 116196,,,,K0
Hip 117290,,,,B5
Hip 118214,,,,B4Vne
Hip 8066,,,,A7II
Hip 20145,,,,K1III
Hip 28919,,,,B8
Hip 32901,,,,B8
Hip 33189,,,,C3II
Hip 39073,,,,B8III
Hip 41842,,,,K5
Hip 41970,,,,B2/B3V
Hip 42708,,,,M1III
Hip 45690,,,,K0/K1II/III
Hip 47694,,,,B6V
Hip 50175,,,,K0
Hip 57963,,,,B4IV
Hip 58477,,,,K0III
Hip 73901,,,,K5III
Hip 75207,,,,M3/M4III
Hip 88720,,,,B7/B8III
Hip 92256,,,,B8
Hip 94592,,,,B8
Hip 99489,,,,K2IIICN...
60 Cygni,60 Cygni,,,B1V
Hip 104751,,,,K3III
Hip 110849,,,,B2V
Hip 113371,,,,B2IV-V
Hip 1921,,,,B5IV
Hip 5002,,,,M3III
Hip 9737,,,,K4III
Hip 22588,,,,B9
Hip 26473,,,,K2IIICN...
Hip 26718,,,,M2SIab
Hip 27747,,,,B9V + G
Hip 29678,,,,B1V
Hip 32143,,,,G5
Hip 39691,,,,B3III
Hip 39899,,,,K4III
Hip 58041,,,,A0/A1III
Hip 62399,,,,K2
Hip 67778,,,,K5
Hip 68915,,,,M1/M2III
Hip 77448,,,,A3
Hip 78377,,,,K5
Hip 83973,,,,O9.5Ib
Hip 90487,,,,K3III
Hip 94428,,,,M0III
Hip 95957,,,,K0
Hip 97989,,,,M0III
Hip 99822,,,,M0
Hip 101567,,,,A0
Hip 103417,,,,M...
Hip 107059,,,,K5III
Hip 107159,,,,B9
Hip 108925,,,,B1V
Hip 109424,,,,B6:V:
6 Lacertae,6 Lacertae,,,B2IV
Hip 114900,,,,K5
Hip 116863,,,,A0
Hip 1023,,,,K2
Hip 13708,,,,M1III
Hip 32402,,,,K3III
Hip 33331,,,,B9
Hip 34663,,,,K0
Hip 34856,,,,G5
Hip 39852,,,,B8II/III
Hip 40530,,,,K2
Hip 43669,,,,B5III
Hip 48981,,,,K1III-IV
Hip 51548,,,,B5III
Hip 51849,,,,K3/K4II
Hip 52789,,,,M2III
Hip 57138,,,,G5
Hip 59108,,,,M5IIIvar
Hip 68161,,,,K3III
Hip 87878,,,,K2III
Hip 94344,,,,F8/G0Ib/II
Hip 94630,,,,M0III
Hip 10557,,,,K3Ib
Hip 16672,,,,K3III
Hip 22302,,,,K4III
Hip 33016,,,,G5Ib/II
Hip 34168,,,,B9IIIn
Hip 34669,,,,B4V
Hip 35566,,,,G8III
Hip 40214,,,,B8
Hip 51424,,,,M2III
Hip 56228,,,,K4/K5III
Hip 69449,,,,M3III
Hip 82561,,,,B2III
Hip 82955,,,,K5
Hip 89999,,,,B8
Hip 92116,,,,K5
Hip 108042,,,,K5
Hip 12690,,,,G5
Hip 26212,,,,B2IV-V
Hip 37819,,,,K4III
Hip 41151,,,,B8/B9V
Hip 44297,,,,K3/K4III
Hip 56743,,,,B4/B5IV
Hip 73977,,,,K2
Hip 82822,,,,B9III
Hip 93419,,,,K2
Hip 93831,,,,K0
Hip 94247,,,,K0
Hip 95131,,,,A0
Hip 96350,,,,M5III:
Hip 99010,,,,K5
Hip 100996,,,,B8
Hip 103288,,,,K2
Hip 117282,,,,A0
Hip 6899,,,,M2III
Hip 15063,,,,O9IV
Hip 17963,,,,B1IV
Hip 26442,,,,B1.5V
Hip 31510,,,,K0
Hip 39063,,,,B2/B3V
Hip 40902,,,,M3III
Hip 42876,,,,K2III
Hip 46045,,,,B5V
Hip 50676,,,,B3III
Hip 54467,,,,A0/A1V
Hip 68290,,,,M2III
Hip 82158,,,,K2
Hip 86768,,,,B1.5V
Hip 88518,,,,K5II-III
Hip 88849,,,,K4III
Hip 90870,,,,K0III
Hip 94460,,,,K2III
Hip 97461,,,,B9
Hip 106775,,,,G4III
12 Lacertae,12 Lacertae,,,B2IIIv SB
Hip 3541,,,,B8
Hip 4174,,,,B8
Hip 7680,,,,K0
Hip 8976,,,,M1III
Hip 19725,,,,B5IV
73 Orionis,73 Orionis,,,B9II-III
Hip 30640,,,,G5
Hip 33666,,,,B2III
Hip 35576,,,,B9
Hip 38975,,,,K0
Zeta Puppis,Zeta Puppis,,,O5IAf
Hip 41107,,,,M2III
Hip 44485,,,,B9III/IV
Hip 45817,,,,B5Vn
Hip 48519,,,,M2III
Hip 52622,,,,M3/M4III
Hip 63050,,,,K4III
Hip 74131,,,,M1III
Hip 78434,,,,K3III
Hip 86088,,,,B5II/III
Hip 96805,,,,M2III
Hip 97162,,,,B2V
Hip 102504,,,,K2
Hip 103763,,,,B2Ve
Hip 4672,,,,B8
Hip 16986,,,,B9
Hip 17815,,,,F8
Hip 18677,,,,K4III
Hip 27512,,,,K1III
57 Orionis,57 Orionis,,,B2V
Hip 28235,,,,K4III
Hip 38253,,,,K3III
Hip 40603,,,,K1III
Hip 59789,,,,M2III
Hip 82723,,,,K1II
Hip 84511,,,,K0
Hip 92202,,,,K0Ibpvar
Hip 97201,,,,B5
Hip 112267,,,,K4/K5III
Hip 9748,,,,K5
Hip 13367,,,,F5:Ib-II
Hip 14824,,,,M...
Hip 18169,,,,B9
Hip 20774,,,,A0
96 Tau,96 Tau,,,K3III
Hip 26738,,,,G8III
Hip 27019,,,,K0
Hip 29451,,,,M1III
Hip 29706,,,,G5
25 Geminorum,25 Geminorum,,,G5Ib
Hip 38028,,,,B3V
Hip 40967,,,,A2/A3IV
Hip 42568,,,,B1.5III
Hip 80241,,,,K4III
Hip 87798,,,,B9.5III
Hip 92393,,,,B3V
Hip 94258,,,,B9
Hip 97135,,,,M0
Hip 99927,,,,A0p
Hip 103822,,,,A1V comp
Hip 107642,,,,K5
Hip 117824,,,,A6V
Hip 469,,,,K3/K4III
Hip 2080,,,,B8
Hip 5768,,,,B1V SB
30 Psi 2 Orionis,30 Psi 2 Orionis,,,B2IV
Hip 30619,,,,K5
Hip 33330,,,,B3V
Hip 36168,,,,B1II
Hip 41406,,,,K0
Hip 47627,,,,Asp...
Hip 48923,,,,M2III
Hip 50692,,,,K2
Hip 67876,,,,K2
Hip 74265,,,,K0
Hip 77278,,,,B9III
Hip 84903,,,,G8/K0III
67 Ophiuchi,67 Ophiuchi,,,B5Ib
Hip 96697,,,,B9
Hip 2649,,,,K3/K4III
Hip 12765,,,,K0
Hip 13047,,,,B9
Hip 15652,,,,B8
Hip 18939,,,,M2III
Hip 31523,,,,B9V
Hip 32027,,,,A0
Hip 35500,,,,M0IIIvar
Hip 37502,,,,B2V
