CountyId,AccommodationFood,AdministrativeSupportWaste,AgricultureForestryFishingHunting,AllSectors,ArtsEntertainmentRecreation,BDG25,Construction,Education,FinanceInsurance,GDPPerCapita,HealthcareSocialAssistance,Income,IndustriesNotClassified,Information,Management,Manufacturing,MiningQuarryingOilGas,OtherServices,PopulationDensity,Poverty,ProfessionalScientificTechnical,RealEstate,RetailTrade,SubstanceAbuse,TransportationWarehousing,Unemployment,Utilities,WholesaleTrade
09005,91754.0,63383.0,911.0,2180278.0,36949.0,26350.0,235247.0,131212.0,80856.0,37667.0,386874.0,70847,202.0,49244.0,21656.0,489541.0,22873.0,66567.0,198.1,7.4,84744.0,16435.0,266508.0,18.1,65699.0,4.8,14048.0,55575.0
55133,241560.0,465221.0,952.0,11964324.0,55470.0,75447.0,914862.0,131334.0,1102237.0,37577.0,1263429.0,78689,537.0,766451.0,720344.0,2675711.0,10489.0,318448.0,649.4,4.7,939677.0,140654.0,669532.0,12.1,361272.0,3.6,107342.0,1078802.0
02110,28698.0,17856.0,2869.0,571204.0,6325.0,5455.0,48408.0,3674.0,25975.0,37558.0,121830.0,82892,NA,10352.0,13876.0,13624.0,NA,22389.0,11.3,8.0,36592.0,8470.0,54595.0,16.1,45751.0,3.6,NA,15883.0
27053,1467587.0,2308994.0,2720.0,54094093.0,750188.0,249057.0,2196079.0,740635.0,8331148.0,37485.0,6365821.0,68902,2361.0,2075910.0,7516983.0,4879399.0,16557.0,1152808.0,2005.3,10.9,6911537.0,1129652.0,2449409.0,12.1,1426296.0,3.5,465115.0,3904894.0
18011,26357.0,39327.0,1303.0,799562.0,8813.0,10178.0,84276.0,3598.0,21813.0,37482.0,104429.0,75163,317.0,16535.0,1634.0,83799.0,NA,24660.0,109.0,6.0,54583.0,7242.0,92123.0,10.1,136213.0,3.6,NA,88398.0
42017,355273.0,700152.0,435.0,11179481.0,143100.0,100389.0,997860.0,176602.0,638103.0,37466.0,1804423.0,80512,442.0,407943.0,311600.0,1474230.0,9361.0,340353.0,984.0,6.3,1176790.0,156441.0,1064594.0,20.1,304608.0,5.2,46784.0,1070387.0
34021,248405.0,457173.0,1904.0,12427864.0,65499.0,51208.0,301034.0,1262000.0,1908738.0,37465.0,1505111.0,72172,430.0,462816.0,678072.0,397875.0,NA,366398.0,1552.5,11.2,2362324.0,96390.0,534189.0,10.1,321716.0,4.9,266367.0,1191319.0
27019,43018.0,54273.0,1879.0,2002025.0,23589.0,19613.0,114861.0,30242.0,49342.0,37457.0,242027.0,93857,46.0,31303.0,183291.0,679956.0,NA,39378.0,196.6,4.5,120625.0,36510.0,94559.0,4.1,13160.0,3.4,NA,241370.0
08014,73673.0,67664.0,NA,2678138.0,48180.0,13421.0,158664.0,24340.0,204877.0,37442.0,78056.0,86548,43.0,545664.0,448417.0,208619.0,7058.0,77258.0,NA,4.9,440236.0,15403.0,117363.0,14.1,20339.0,3.1,NA,141385.0
51149,9219.0,44819.0,NA,319822.0,1723.0,3568.0,12867.0,2113.0,4203.0,17208.0,16609.0,63320,NA,NA,NA,50912.0,NA,5997.0,124.4,9.9,37934.0,2368.0,22285.0,8.1,40569.0,4.9,NA,58279.0
24017,83572.0,48752.0,576.0,1241417.0,4354.0,17217.0,212544.0,14122.0,47205.0,37277.0,201806.0,87941,NA,28505.0,21792.0,24000.0,NA,53967.0,261.5,7.1,134600.0,15282.0,216736.0,12.1,39565.0,4.7,NA,34123.0
51003,79499.0,56235.0,2548.0,1879789.0,34126.0,17571.0,99186.0,29808.0,237031.0,37239.0,428280.0,71293,325.0,55862.0,34262.0,223194.0,3244.0,48516.0,109.7,9.5,269493.0,31484.0,176784.0,6.1,23320.0,3.6,NA,46409.0
02230,5176.0,3041.0,NA,25511.0,1026.0,212.0,4451.0,NA,NA,37139.0,157.0,65878,NA,NA,NA,140.0,NA,379.0,NA,3.7,NA,NA,5394.0,NA,3808.0,3.0,NA,NA
02060,5109.0,NA,NA,49171.0,77.0,88.0,NA,NA,NA,37024.0,NA,66373,NA,NA,NA,25904.0,NA,75.0,2.5,9.0,NA,707.0,1849.0,20.1,6215.0,5.6,NA,NA
44009,128694.0,58165.0,3716.0,1975018.0,38967.0,21922.0,82145.0,54613.0,75426.0,37023.0,301670.0,71951,163.0,30227.0,63249.0,466861.0,3783.0,48378.0,371.3,9.9,102265.0,15223.0,198297.0,16.1,31152.0,5.0,10924.0,261100.0
36103,1021090.0,1458426.0,6254.0,30187458.0,303796.0,191189.0,2844644.0,283723.0,3274744.0,36945.0,5044791.0,87634,1639.0,956266.0,1178886.0,3153471.0,15462.0,739137.0,1556.0,7.8,3223380.0,379890.0,2461422.0,10.1,765294.0,4.3,194724.0,2880419.0
24021,155160.0,210752.0,795.0,4064074.0,31197.0,37597.0,447789.0,72014.0,425752.0,36917.0,553494.0,83746,165.0,53682.0,255085.0,432694.0,6586.0,141562.0,294.6,7.4,616700.0,53568.0,342366.0,12.1,81260.0,3.9,15287.0,168166.0
12109,218303.0,102626.0,787.0,2034005.0,56276.0,40621.0,155396.0,62730.0,152819.0,23285.0,320843.0,71896,126.0,27786.0,32134.0,72875.0,NA,177836.0,202.2,9.8,202272.0,50234.0,255505.0,10.1,30485.0,3.6,NA,108122.0
34005,229021.0,460470.0,4845.0,9437032.0,54978.0,72730.0,462584.0,70878.0,1512841.0,36835.0,1199267.0,74844,222.0,309215.0,626231.0,1023595.0,2748.0,185456.0,526.2,7.7,1059765.0,256088.0,716299.0,14.1,362734.0,5.0,101389.0,798406.0
13121,1733582.0,2812241.0,615.0,52543184.0,672321.0,195121.0,1284364.0,764542.0,6953695.0,36757.0,4521506.0,59911,3180.0,4975340.0,7411422.0,1173643.0,13647.0,1075159.0,1543.5,16.0,8922218.0,1567149.0,1506457.0,14.1,3383521.0,5.2,598228.0,3170354.0
27163,149621.0,92244.0,865.0,3205602.0,38426.0,44999.0,225733.0,37508.0,347154.0,36706.0,511360.0,88329,850.0,77241.0,104495.0,504360.0,6609.0,113423.0,513.5,5.1,247370.0,55186.0,325082.0,6.1,100766.0,3.4,NA,248159.0
51179,52800.0,52690.0,NA,1285536.0,7585.0,19077.0,99472.0,22085.0,214736.0,36574.0,131986.0,95666,26.0,15817.0,2044.0,43324.0,NA,53518.0,341.9,5.4,333347.0,13420.0,120535.0,8.1,44882.0,4.0,4113.0,70868.0
51157,6572.0,1521.0,127.0,35629.0,NA,1120.0,4309.0,2309.0,698.0,36505.0,1497.0,62729,NA,2104.0,NA,1392.0,NA,768.0,26.2,9.8,4481.0,187.0,3996.0,20.1,NA,3.5,NA,721.0
26125,937469.0,2570114.0,7170.0,39434455.0,339874.0,217256.0,1568333.0,373290.0,3187795.0,36458.0,4785330.0,70150,2217.0,1896615.0,4555535.0,3387319.0,8398.0,804582.0,1368.6,9.3,8098990.0,796951.0,2174713.0,10.1,450152.0,4.7,213457.0,3276151.0
12021,489777.0,240597.0,4302.0,4917563.0,208180.0,50355.0,531254.0,72009.0,413985.0,36439.0,875335.0,62385,323.0,122141.0,80142.0,155644.0,8237.0,214652.0,124.1,13.6,379134.0,167779.0,640560.0,20.1,51212.0,5.3,10825.0,251475.0
51199,58583.0,47279.0,604.0,586255.0,11206.0,10039.0,67825.0,5216.0,23194.0,36373.0,82715.0,83007,127.0,2108.0,NA,12438.0,NA,29074.0,532.9,5.3,101146.0,13181.0,91197.0,6.1,7261.0,4.0,NA,12182.0
08053,739.0,328.0,NA,4453.0,49.0,215.0,1413.0,NA,NA,36365.0,NA,58613,NA,NA,NA,NA,NA,278.0,0.7,10.9,NA,168.0,825.0,14.1,NA,2.0,NA,NA
